epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.282,0.7005,2.40484,0.92214,0.54786,0.34276,0.32594,0.27375,0.57742,2.37327,0.84605,0.000411325,0.000411325,0.000411325
2,33.887,0.70729,1.50139,0.90521,0.68803,0.48324,0.47386,0.35456,0.94533,2.01953,1.11653,0.000819794,0.000819794,0.000819794
3,50.5259,0.74018,1.25286,0.92404,0.82534,0.58681,0.63884,0.50622,0.67234,1.30729,0.90821,0.00122001,0.00122001,0.00122001
4,66.4602,0.71278,1.07935,0.91931,0.88584,0.6378,0.71731,0.60204,0.63266,0.98265,0.88354,0.00121287,0.00121287,0.00121287
5,82.7808,0.69793,1.00173,0.91927,0.89327,0.66542,0.73652,0.62176,0.59595,0.95838,0.89021,0.0012005,0.0012005,0.0012005
6,101.364,0.67019,0.87649,0.91151,0.86652,0.72302,0.80369,0.69248,0.55859,0.71927,0.87925,0.00118812,0.00118812,0.00118812
7,117.62,0.65358,0.78592,0.90513,0.87369,0.7923,0.83571,0.73422,0.53277,0.65207,0.85826,0.00117575,0.00117575,0.00117575
8,133.338,0.61357,0.7191,0.8924,0.86476,0.77082,0.85067,0.73935,0.52297,0.63605,0.86382,0.00116337,0.00116337,0.00116337
9,149.023,0.61383,0.68813,0.89276,0.89811,0.84543,0.89617,0.78606,0.49903,0.54802,0.83788,0.001151,0.001151,0.001151
10,164.55,0.58242,0.64537,0.8859,0.9412,0.88113,0.90966,0.79221,0.50112,0.51872,0.85664,0.00113863,0.00113863,0.00113863
11,180.171,0.57894,0.63704,0.88343,0.88582,0.86685,0.91692,0.82259,0.4664,0.51614,0.85337,0.00112625,0.00112625,0.00112625
12,197.607,0.55345,0.59636,0.88311,0.91616,0.86233,0.90791,0.81276,0.45212,0.51611,0.83919,0.00111388,0.00111388,0.00111388
13,213.294,0.55596,0.5735,0.88525,0.92304,0.84456,0.88806,0.78671,0.46097,0.53178,0.8493,0.0011015,0.0011015,0.0011015
14,228.972,0.56337,0.57276,0.88358,0.94095,0.87202,0.91062,0.80952,0.46253,0.47391,0.84802,0.00108913,0.00108913,0.00108913
15,244.537,0.54646,0.55263,0.87851,0.85922,0.84113,0.87306,0.78883,0.43698,0.50889,0.83708,0.00107675,0.00107675,0.00107675
16,261.208,0.54714,0.56377,0.88244,0.92228,0.86728,0.89688,0.79194,0.48604,0.48489,0.85177,0.00106437,0.00106437,0.00106437
17,276.8,0.5328,0.51654,0.87721,0.93104,0.88369,0.93395,0.83781,0.44642,0.4444,0.84149,0.001052,0.001052,0.001052
18,292.419,0.52001,0.48846,0.87183,0.89983,0.89874,0.9261,0.82861,0.4438,0.43758,0.84225,0.00103962,0.00103962,0.00103962
19,308.394,0.5261,0.49787,0.87976,0.94444,0.91827,0.93521,0.83027,0.45762,0.4084,0.85276,0.00102725,0.00102725,0.00102725
20,324.852,0.51268,0.50041,0.87044,0.95854,0.86894,0.92934,0.85178,0.41332,0.41038,0.84235,0.00101488,0.00101488,0.00101488
21,341.019,0.49837,0.47792,0.8758,0.96678,0.91287,0.93776,0.85348,0.41804,0.39784,0.83177,0.0010025,0.0010025,0.0010025
22,356.299,0.51287,0.46787,0.87472,0.91557,0.91007,0.9042,0.82377,0.4149,0.4124,0.83416,0.000990125,0.000990125,0.000990125
23,371.82,0.51032,0.45686,0.87177,0.94433,0.89295,0.93075,0.85163,0.40953,0.39933,0.83392,0.00097775,0.00097775,0.00097775
24,387.032,0.496,0.4494,0.86598,0.94,0.89499,0.92035,0.84441,0.40041,0.36897,0.82842,0.000965375,0.000965375,0.000965375
25,402.043,0.49306,0.44719,0.86575,0.95639,0.89965,0.93483,0.84941,0.43651,0.39407,0.84143,0.000953,0.000953,0.000953
26,417.501,0.48908,0.42883,0.86899,0.94514,0.92468,0.94036,0.8633,0.40572,0.37677,0.83082,0.000940625,0.000940625,0.000940625
27,432.728,0.4952,0.43434,0.86646,0.93116,0.91102,0.93053,0.85106,0.39869,0.37149,0.84147,0.00092825,0.00092825,0.00092825
28,448.68,0.47927,0.42927,0.86877,0.84573,0.907,0.84649,0.7895,0.36864,0.37153,0.82526,0.000915875,0.000915875,0.000915875
29,463.908,0.46362,0.40984,0.85748,0.95685,0.89181,0.93177,0.86159,0.38402,0.36269,0.82538,0.0009035,0.0009035,0.0009035
30,478.969,0.45777,0.40351,0.85954,0.96533,0.91299,0.9487,0.88036,0.35362,0.33528,0.82073,0.000891125,0.000891125,0.000891125
31,494.55,0.4653,0.39404,0.8626,0.9677,0.91787,0.95502,0.88135,0.39075,0.34684,0.82881,0.00087875,0.00087875,0.00087875
32,510.135,0.45839,0.39667,0.85665,0.98336,0.92671,0.94815,0.88095,0.3602,0.33525,0.82168,0.000866375,0.000866375,0.000866375
33,525.311,0.44959,0.36878,0.85623,0.96955,0.9588,0.95572,0.89044,0.34907,0.31619,0.82048,0.000854,0.000854,0.000854
34,541.748,0.45025,0.40428,0.85662,0.98811,0.91715,0.94561,0.89005,0.35488,0.32135,0.82456,0.000841625,0.000841625,0.000841625
35,557.76,0.44242,0.38428,0.85976,0.90831,0.92957,0.91127,0.85019,0.35642,0.33889,0.81849,0.00082925,0.00082925,0.00082925
36,574.542,0.45132,0.39282,0.8636,0.96962,0.9418,0.94283,0.88401,0.35325,0.32511,0.82374,0.000816875,0.000816875,0.000816875
37,591.996,0.46114,0.39091,0.86044,0.97348,0.92309,0.94737,0.89075,0.34176,0.31243,0.81401,0.0008045,0.0008045,0.0008045
38,610.091,0.4434,0.37364,0.85416,0.95533,0.92057,0.92499,0.87519,0.34827,0.31299,0.81982,0.000792125,0.000792125,0.000792125
39,627.803,0.42861,0.36677,0.84874,0.97632,0.92094,0.93902,0.88226,0.34665,0.3147,0.81787,0.00077975,0.00077975,0.00077975
40,645.249,0.44097,0.36654,0.85363,0.93199,0.93053,0.94136,0.89173,0.34361,0.30251,0.82091,0.000767375,0.000767375,0.000767375
41,663.677,0.42869,0.36046,0.85291,0.97562,0.93112,0.94552,0.88631,0.35781,0.31033,0.81962,0.000755,0.000755,0.000755
42,679.823,0.43119,0.36197,0.85439,0.96011,0.93063,0.94907,0.88946,0.35187,0.31881,0.8184,0.000742625,0.000742625,0.000742625
43,696.723,0.41559,0.36403,0.84947,0.94618,0.93923,0.92141,0.87085,0.34017,0.30671,0.81972,0.00073025,0.00073025,0.00073025
44,714.328,0.41869,0.36862,0.849,0.96618,0.93799,0.9541,0.89777,0.33122,0.29385,0.81687,0.000717875,0.000717875,0.000717875
45,729.409,0.41409,0.35129,0.85177,0.97288,0.93219,0.94404,0.8928,0.33155,0.29345,0.81695,0.0007055,0.0007055,0.0007055
46,746.099,0.42223,0.34785,0.85661,0.91245,0.95773,0.94374,0.89934,0.32687,0.29474,0.8108,0.000693125,0.000693125,0.000693125
