epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.4048,0.7005,2.40484,0.92214,0.54786,0.34276,0.32594,0.27375,0.57742,2.37327,0.84605,0.000411325,0.000411325,0.000411325
2,19.8874,0.70159,1.49077,0.90165,0.77384,0.53515,0.58905,0.45199,0.72553,1.56455,0.92581,0.000811597,0.000811597,0.000811597
3,28.833,0.7375,1.26366,0.92397,0.82788,0.54634,0.6354,0.52174,0.66773,1.52331,0.90455,0.00119537,0.00119537,0.00119537
4,38.233,0.69595,1.05692,0.90723,0.92967,0.65961,0.75132,0.63097,0.60992,0.88012,0.87876,0.00117575,0.00117575,0.00117575
5,48.2729,0.68989,0.9614,0.91626,0.92121,0.71727,0.76371,0.6477,0.60353,0.88316,0.89849,0.001151,0.001151,0.001151
6,58.7746,0.65496,0.86575,0.90846,0.85236,0.75259,0.79978,0.69436,0.54492,0.77053,0.85287,0.00112625,0.00112625,0.00112625
7,70.2421,0.63632,0.7543,0.89922,0.90305,0.85393,0.89606,0.78589,0.51123,0.5885,0.8489,0.0011015,0.0011015,0.0011015
8,82.3103,0.59529,0.73037,0.88243,0.8795,0.77764,0.8543,0.74188,0.49359,0.64317,0.85201,0.00107675,0.00107675,0.00107675
9,95.0321,0.60356,0.67495,0.88951,0.86927,0.81515,0.84476,0.74747,0.48591,0.60181,0.85172,0.001052,0.001052,0.001052
10,107.815,0.5697,0.62847,0.88201,0.89772,0.90213,0.91046,0.80679,0.46278,0.49838,0.84483,0.00102725,0.00102725,0.00102725
11,121.112,0.56629,0.60359,0.8806,0.91551,0.88967,0.90394,0.80271,0.49237,0.49179,0.85211,0.0010025,0.0010025,0.0010025
12,135.235,0.55221,0.57665,0.87865,0.90114,0.8729,0.90489,0.82058,0.44879,0.4962,0.83745,0.00097775,0.00097775,0.00097775
13,149.889,0.55323,0.5932,0.88222,0.96304,0.86937,0.90984,0.82784,0.44275,0.44676,0.83055,0.000953,0.000953,0.000953
14,164.696,0.53964,0.56422,0.87379,0.92187,0.89808,0.89584,0.82782,0.41715,0.44412,0.83108,0.00092825,0.00092825,0.00092825
15,180.188,0.52975,0.53754,0.87286,0.87271,0.87793,0.89639,0.81931,0.42803,0.46224,0.83505,0.0009035,0.0009035,0.0009035
16,195.132,0.53024,0.50475,0.87704,0.99084,0.8857,0.92628,0.83728,0.42844,0.42332,0.83981,0.00087875,0.00087875,0.00087875
17,211.132,0.50497,0.48464,0.86806,0.91518,0.90449,0.90596,0.82915,0.41784,0.42672,0.83706,0.000854,0.000854,0.000854
18,227.603,0.49216,0.47032,0.86419,0.9855,0.90286,0.93195,0.85219,0.40453,0.41017,0.82804,0.00082925,0.00082925,0.00082925
19,244.541,0.49256,0.46785,0.86966,0.98204,0.87751,0.93346,0.86093,0.40147,0.40023,0.83351,0.0008045,0.0008045,0.0008045
20,262.933,0.47138,0.44595,0.86022,0.93192,0.90732,0.92782,0.85464,0.3726,0.39913,0.818,0.00077975,0.00077975,0.00077975
21,280.077,0.47953,0.45566,0.86832,0.97014,0.90428,0.93504,0.86211,0.37683,0.38373,0.82143,0.000755,0.000755,0.000755
22,297.063,0.46358,0.43446,0.85879,0.97931,0.90128,0.93028,0.86262,0.38468,0.39569,0.81986,0.00073025,0.00073025,0.00073025
23,318.664,0.46178,0.41509,0.86014,0.9573,0.86835,0.92615,0.86938,0.36742,0.42437,0.82267,0.0007055,0.0007055,0.0007055
24,338.841,0.45526,0.41882,0.8557,0.98235,0.90685,0.95434,0.88244,0.36654,0.35181,0.80856,0.00068075,0.00068075,0.00068075
25,356.498,0.45231,0.41657,0.85417,0.96089,0.91188,0.93785,0.87415,0.36884,0.34747,0.82504,0.000656,0.000656,0.000656
26,373.016,0.44553,0.40512,0.85579,0.98707,0.90904,0.95068,0.89014,0.34612,0.32192,0.81697,0.00063125,0.00063125,0.00063125
27,388.821,0.44696,0.39586,0.85231,0.97205,0.90756,0.94167,0.88231,0.34976,0.3285,0.8088,0.0006065,0.0006065,0.0006065
28,403.654,0.43803,0.38621,0.85504,0.96764,0.9189,0.94283,0.88406,0.34165,0.32786,0.81765,0.00058175,0.00058175,0.00058175
29,418.82,0.4318,0.37997,0.85041,0.97501,0.93006,0.95849,0.89716,0.33014,0.31191,0.81237,0.000557,0.000557,0.000557
30,435.045,0.41547,0.3655,0.84927,0.94969,0.94378,0.95282,0.89888,0.32456,0.30788,0.81018,0.00053225,0.00053225,0.00053225
31,451.154,0.42726,0.37019,0.85186,0.95549,0.93768,0.95294,0.89739,0.32501,0.30034,0.81192,0.0005075,0.0005075,0.0005075
